Stock Symbol,Market Cap,P/E Ratio,EPS,Yield
ASCU,$184.04 M,N/A,$-0.07,N/A
ARM,$5.83 M,19.81,$0.02,N/A
ARK,$20.99 M,N/A,$-0.16,N/A
AXL,$89.34 M,N/A,$0.00,N/A
ARTG,$854.00 M,N/A,$-0.14,N/A
AX.UT,$802.04 M,N/A,$-2.42,8.55%
AX.PRI,N/A,N/A,N/A,8.04%
AX.PRE,N/A,N/A,N/A,8.57%
ARWY,N/A,N/A,N/A,N/A
RBZ,$1.80 M,N/A,$-0.05,N/A
ASE,$773.51 M,N/A,$-0.32,N/A
AB.H,$7.09 M,N/A,$-0.12,N/A
ASND,$25.88 M,N/A,$-0.13,N/A
AOT,$316.14 M,N/A,$-0.04,N/A
ASEP,$9.82 M,N/A,$-0.08,N/A
ASHL,N/A,N/A,N/A,N/A
ASIA,"$724,942",N/A,$-0.01,N/A
SAT,$3.42 M,N/A,$-0.04,N/A
ATC,$31.01 M,N/A,$-0.03,N/A
ACOP,$3.46 M,N/A,$-0.07,N/A
ACO.X,$5.00 B,12.08,$3.59,4.39%
ACO.Y,$4.96 B,12.42,$3.59,4.27%
ATCM,$4.86 M,N/A,$-0.03,N/A
ATX,$190.42 M,N/A,$-0.02,N/A
SASK,N/A,N/A,N/A,N/A
ATH,$1.71 B,2.84,$1.05,N/A
ATHA,$12.21 M,N/A,$-0.01,N/A
AAT,$2.85 M,N/A,$0.00,N/A
ATY,$21.83 M,N/A,$-0.01,N/A
AEP,$67.78 M,8.71,$0.14,N/A
ATL,$43.81 M,0.39,$0.74,N/A
SALT,$104.26 M,N/A,$-0.03,N/A
ATMO,"$786,459",N/A,$-5.87,N/A
ATOM,$1.09 M,N/A,$-0.01,N/A
AAN,$8.96 M,N/A,$-0.17,N/A
TTO.H,"$396,187",N/A,$-0.01,N/A
ATS,$5.67 B,44.44,$1.38,N/A
ATW,$4.49 M,N/A,$-0.03,N/A
AUGC,"$987,175",N/A,$0.00,N/A
G,$88.51 M,N/A,$-0.24,N/A
AUQ,$3.12 M,N/A,$-0.02,N/A
ORA,$751.13 M,15.40,$0.67,N/A
ARU,$18.63 M,N/A,$-0.23,N/A
AU,$74.25 M,N/A,$-0.04,N/A
ACB,$272.66 M,N/A,$-7.17,N/A
AUR.H,$1.21 M,N/A,$0.00,N/A
ACU,$6.67 M,N/A,$-0.02,N/A
AWR,$2.00 M,N/A,$-0.02,N/A
ACR.H,"$275,125",N/A,$-0.12,N/A
AGLD,$22.03 M,N/A,$-0.02,N/A
ACQ,$440.49 M,5.01,$3.39,N/A
AFCC.H,$16.85 M,N/A,$-0.03,25.63%
APR.UT,$546.47 M,7.86,$1.42,7.22%
AUAG,$19.57 M,0.42,$0.62,N/A
XLY,$13.43 M,N/A,$-0.11,N/A
AVL,$50.34 M,N/A,$-0.01,N/A
AVNT,$38.38 M,N/A,$-0.03,N/A
XX,$25.16 M,5.01,$0.18,N/A
AVA,$3.63 M,N/A,$-0.07,N/A
AGC,$15.39 M,N/A,$-0.51,N/A
AVN,$37.43 M,N/A,$-0.15,N/A
AVN.WTA,N/A,N/A,N/A,N/A
AVM.X,$3.20 M,N/A,$0.00,N/A
AVCN,$29.49 M,N/A,$-0.22,N/A
AVG,$5.38 M,N/A,N/A,N/A
VIK,$7.58 M,3.40,$0.03,N/A
ASM,$114.80 M,39.02,$0.02,N/A
VIV,$1.16 M,N/A,$-0.08,N/A
AVCR,$28.40 M,N/A,$-0.01,N/A
AVU,$2.73 M,N/A,$-0.01,N/A
ARIC,$3.89 M,N/A,$-0.38,N/A
AXCP,$1.96 M,N/A,$-0.03,N/A
AXET.P,N/A,N/A,N/A,N/A
AXIS,$24.99 M,N/A,$-0.05,N/A
AXM,$5.95 M,N/A,$-0.01,N/A
AYA,$1.06 B,205.18,$0.04,N/A
AYR.A,$113.96 M,N/A,$-8.41,N/A
AYUR,$6.29 M,N/A,$-0.03,N/A
AZR,$2.08 M,N/A,$-0.07,N/A
AZM,$93.00 M,892.31,$0.00,N/A
AAZ,$9.48 M,N/A,$-0.04,N/A
AZT,$25.94 M,N/A,$-0.02,N/A
AMZ,$6.28 M,N/A,$-0.01,N/A
BTO,$6.83 B,16.30,$0.32,4.12%
BP,$1.55 M,N/A,$-0.02,N/A
BAC,$11.27 M,N/A,$-0.02,N/A
YVR.P,"$485,600",N/A,$-0.01,N/A
BDGI,$940.09 M,26.79,$1.00,2.57%
BLDP,$1.75 B,N/A,$-0.74,N/A
BLTC.P,"$338,179",N/A,$-0.01,N/A
BMO,$84.14 B,7.39,$15.89,4.87%
BMO.PRE,N/A,N/A,N/A,5.97%
BMO.PRF,N/A,N/A,N/A,5.51%
BMO.PRW,N/A,N/A,N/A,5.89%
BMO.PRS,N/A,N/A,N/A,5.67%
BMO.PRT,N/A,N/A,N/A,4.06%
BMO.PRY,N/A,N/A,N/A,4.39%
BNS,$79.29 B,9.26,$7.18,6.19%
BNS.PRI,N/A,N/A,N/A,5.91%
BYN,$109.54 M,N/A,$0.00,N/A
BRO,$70.32 M,N/A,$-0.04,N/A
BGS,$1.87 M,N/A,$-0.17,N/A
ABX,$42.36 B,444.90,$0.05,3.57%
BME,$37.76 M,N/A,$-0.01,N/A
BARU,$10.24 M,N/A,$-0.01,N/A
FIND,$31.68 M,N/A,$-0.21,N/A
NCLR,$2.53 M,N/A,$-0.06,N/A
BAT,$4.03 M,N/A,$0.00,N/A
BMV,$3.99 M,N/A,$-0.01,N/A
BMR,$21.53 M,N/A,$-0.02,N/A
BLCO,$9.20 B,N/A,$-0.40,N/A
BHC,$4.08 B,N/A,$-1.36,N/A
BHS,$5.96 M,N/A,$-0.01,N/A
BYL,$30.50 M,N/A,$-0.19,N/A
BYM.H,"$160,966",N/A,$-0.01,N/A
BTE,$2.52 B,3.07,$1.52,N/A
BBTV,$7.52 M,N/A,$-9.29,N/A
BCBC,$6.15 M,N/A,$-0.08,N/A
BCE,$57.85 B,22.38,$2.81,6.15%
BCE.PRE,N/A,N/A,N/A,9.16%
BCE.PRH,N/A,N/A,N/A,8.09%
BCE.PRQ,N/A,N/A,N/A,6.04%
BCE.PRJ,N/A,N/A,N/A,9.10%
BCE.PRA,N/A,N/A,N/A,5.25%
BCE.PRN,N/A,N/A,N/A,3.17%
BCE.PRL,N/A,N/A,N/A,8.30%
BCE.PRD,N/A,N/A,N/A,8.10%
BCE.PRF,N/A,N/A,N/A,6.03%
BCE.PRG,N/A,N/A,N/A,5.61%
BCE.PRI,N/A,N/A,N/A,5.66%
BCE.PRK,N/A,N/A,N/A,6.04%
BCE.PRC,N/A,N/A,N/A,7.05%
BCE.PRY,N/A,N/A,N/A,3.78%
BCE.PRZ,N/A,N/A,N/A,7.28%
B,$21.53 M,N/A,$-0.01,N/A
BECN,$11.13 M,N/A,$-0.01,N/A
BCM,$89.49 M,N/A,$-0.20,N/A
BGF,$3.67 M,N/A,$-0.01,N/A
BEE,$9.37 M,N/A,$-0.04,N/A
BLGV,$1.16 M,N/A,$-0.21,N/A
BCU,$18.53 M,N/A,$-0.02,N/A
BLU,$2.46 B,N/A,$-0.95,N/A
BEA,$2.24 M,N/A,$0.00,N/A
BSX,$29.58 M,N/A,$-0.03,N/A
BMET,$23.06 M,N/A,$-0.08,N/A
BNG,$26.69 M,16.67,$0.00,N/A
BNN,$11.06 M,N/A,$-0.16,N/A
BEX,$9.79 M,N/A,$-0.01,N/A
BZ,$42.71 M,N/A,$-0.05,N/A
PLNT.X,"$597,539",N/A,$-0.05,N/A
BETR,$8.11 M,N/A,$-0.14,N/A
MOOO,$31.28 M,N/A,$-5.08,N/A
BEW,$16.72 M,7.69,$0.02,N/A
BY,$5.16 M,N/A,$-0.03,N/A
DOCT,"$553,978",N/A,$-0.31,N/A
BOIL,$36.68 M,N/A,$-0.36,N/A
BNK,$17.27 M,N/A,$-3.26,7.19%
BNK.PRA,N/A,N/A,N/A,6.00%
BG,N/A,N/A,N/A,N/A
PRM.PRA,N/A,N/A,N/A,5.05%
RED,N/A,N/A,N/A,N/A
BRAU,$14.34 M,N/A,$-0.10,N/A
BR,$12.64 M,N/A,$-0.87,N/A
BIGT,$9.63 M,N/A,$-0.01,N/A
BIGG,$66.08 M,N/A,$-0.18,N/A
BTI,$1.19 M,N/A,$-0.04,N/A
CURE,$4.36 M,N/A,$-0.01,N/A
BHSC,$99.05 M,N/A,$-0.03,N/A
BUX,$22.49 M,N/A,$-0.03,N/A
BIO,"$562,087",N/A,$-0.10,N/A
BGA,"$696,732",N/A,$-0.06,N/A
BNXT,$61.98 M,N/A,$-0.14,N/A
BRM,$15.81 M,10.64,$0.10,N/A
ZRO,$5.87 M,N/A,$-0.07,N/A
RX,$92.93 M,17.50,$0.44,2.09%
BIOV,$4.35 M,N/A,$-0.11,N/A
BIR,$2.19 B,4.59,$1.76,9.90%
BRCH,N/A,N/A,N/A,N/A
BDT,$477.35 M,9.71,$0.91,4.88%
BITF,$343.03 M,N/A,$-1.53,N/A
BTT,$3.99 M,N/A,$-0.02,N/A
BDI,$402.65 M,15.16,$0.44,1.19%
BKI,$21.27 M,N/A,$-0.01,N/A
SWAN,$17.50 M,N/A,N/A,N/A
BB,$4.23 B,N/A,$-1.84,N/A
BLR,$1.96 M,N/A,$-0.10,N/A
BLN,$201.99 M,N/A,$-0.76,N/A
BRC,$52.72 M,N/A,$-0.09,N/A
