Stock Symbol,Buy,Overweight,Hold,Underweight,Sell
BAC,0,0,0,0,0
BDGI,2,1,4,0,1
BLDP,3,2,17,0,3
BMO,2,1,2,0,1
BMO.PRE,8,4,4,0,1
BMO.PRW,8,4,4,0,1
BMO.PRF,8,4,4,0,1
BMO.PRS,8,4,4,0,1
BMO.PRT,8,4,4,0,1
BMO.PRY,8,4,4,0,1
BNS,0,0,5,2,0
BYN,1,0,0,0,0
BNS.PRI,2,1,11,1,1
BRO,0,1,0,0,0
BGS,0,0,0,0,0
ABX,13,2,9,1,1
BME,0,0,1,0,0
BARU,0,0,1,0,0
NCLR,0,0,0,0,0
FIND,0,0,0,0,0
BMV,0,0,0,0,0
BAT,0,1,0,0,0
BMR,0,0,0,0,0
BLCO,9,0,5,0,0
BHS,1,0,0,0,0
BHC,2,0,6,1,0
BYL,0,0,2,0,0
BTE,4,0,6,0,0
BYM.H,0,0,0,0,0
BBTV,1,0,0,0,0
BCE,3,2,13,0,0
BCBC,0,0,0,0,0
BCE.PRE,3,2,13,0,0
BCE.PRB,3,2,13,0,0
BCE.PRH,3,2,13,0,0
BCE.PRM,3,2,13,0,0
BCE.PRJ,3,2,13,0,0
BCE.PRQ,3,2,13,0,0
BCE.PRA,3,2,13,0,0
BCE.PRN,3,2,13,0,0
BCE.PRL,3,2,13,0,0
BCE.PRD,3,2,13,0,0
BCE.PRG,3,2,13,0,0
BCE.PRF,3,2,13,0,0
BCE.PRI,3,2,13,0,0
BCE.PRK,3,2,13,0,0
BCE.PRC,3,2,13,0,0
BCE.PRR,3,2,13,0,0
BCE.PRT,3,2,13,0,0
BCE.PRS,3,2,13,0,0
BCE.PRY,3,2,13,0,0
B,0,0,0,0,0
BCE.PRZ,3,2,13,0,0
BGF,0,0,0,0,0
BCM,2,0,1,0,0
BEE,0,0,0,0,0
BLGV,0,0,0,0,1
BCU,1,0,0,0,0
BLU,2,0,5,0,0
BSX,1,0,0,0,0
BEA,0,0,0,0,0
BMET,0,0,0,0,0
BNN,0,0,0,0,0
BNCH,1,1,0,0,0
BNG,1,0,0,0,0
BEX,0,0,0,0,0
PLNT.X,1,0,0,0,0
BZ,0,0,0,0,0
BETR,1,0,0,0,0
BEW,1,0,0,0,0
DOCT,0,0,0,0,0
BOIL,1,0,0,0,0
BRAU,0,0,0,0,0
PRM.PRA,0,0,0,0,0
BIGG,2,0,0,0,0
BR,0,0,1,0,0
BIGT,0,0,0,0,0
BHSC,0,0,0,0,0
BTI,1,0,0,0,0
CURE,0,0,0,0,0
BIO,1,0,0,0,0
BUX,0,0,0,0,0
BGA,0,0,0,0,0
BNXT,0,0,0,0,0
ZRO,0,0,0,0,0
BRM,0,0,0,0,0
RX,0,1,0,0,0
BIK.PRA,0,0,0,0,0
BIOV,0,0,0,0,0
BIR,8,1,5,0,1
BDT,7,0,2,0,0
BTCW,1,0,0,0,0
BITF,3,0,0,0,0
BDR,0,0,0,0,0
BBM,1,0,0,0,0
BMEX,0,0,0,0,0
BLM,0,0,0,0,0
GBT,0,0,1,0,0
BWLK,0,0,0,0,0
BEI.UT,8,0,2,0,0
BRMI,3,1,0,0,0
BAMM,0,0,0,0,0
BOCA,0,0,0,0,0
BBD.PRB,9,0,4,1,1
BOL,0,0,0,0,0
BOLT,0,0,0,0,0
BBD.B,8,0,4,1,1
BBD.PRC,9,0,4,1,1
BBD.A,9,0,4,1,1
BBD.PRD,9,0,4,1,1
BNZ,0,0,0,0,0
BNE,4,1,1,0,0
VEGI,0,0,0,0,0
BTR,0,1,0,0,0
BLX,7,2,5,0,0
BYD,8,1,4,0,0
BONE,0,0,0,0,0
BQE,0,0,1,0,0
BHLI,2,0,0,0,0
BRAG,6,1,0,0,0
BES,1,0,0,0,0
BRAS,0,0,0,0,0
BRVO,2,1,0,0,0
BVA,0,0,0,0,0
BRAX,0,0,0,0,0
BCT,1,0,0,0,0
BRE,0,0,1,0,0
BRY,0,0,1,0,0
BRG,0,0,0,0,0
BLAB,0,0,0,0,0
DRUG,1,0,0,0,0
BBB,1,0,0,0,0
OSP.PRA,0,0,0,0,0
LCS.PRA,0,0,0,0,0
SBC.PRA,0,0,0,0,0
BBUC,0,0,0,0,0
BAM,5,0,1,0,2
BBU.UT,4,0,1,0,1
BN,9,1,1,1,0
BN.PRX,9,1,1,1,0
BN.PFD,9,1,1,1,0
BN.PFG,9,1,1,1,0
BN.PRZ,9,1,1,1,0
BN.PFI,9,1,1,1,0
BN.PFJ,9,1,1,1,0
BN.PFC,9,1,1,1,0
BN.PFA,9,1,1,1,0
BN.PFF,9,1,1,1,0
BN.PFE,9,1,1,1,0
BN.PRM,9,1,1,1,0
BN.PRR,9,1,1,1,0
BN.PRT,9,1,1,1,0
BN.PRC,9,1,1,1,0
BN.PFB,9,1,1,1,0
BN.PFK,9,1,1,1,0
BN.PRK,9,1,1,1,0
BN.PRN,9,1,1,1,0
BN.PFL,9,1,1,1,0
BN.PRB,9,1,1,1,0
BIPC,1,0,0,0,0
